 latitude, longitude
5.115439341252954364e+01,-8.575503014710295080e-01
5.115423423099579026e+01,-8.579174131674169868e-01
5.115407504943168959e+01,-8.582845248564313634e-01
5.115391586783724165e+01,-8.586516365380698623e-01
5.115375668621241800e+01,-8.590187482123291529e-01
5.115359750455721866e+01,-8.593858598792061265e-01
5.115343832287162940e+01,-8.597529715386978966e-01
5.115327914115562891e+01,-8.601200831908006883e-01
5.115311995940921008e+01,-8.604871948355120592e-01
5.115296077763235161e+01,-8.608543064728285676e-01
5.115283050600532277e+01,-8.611965838430573061e-01
5.115270023435505209e+01,-8.615388612081880115e-01
5.115256996268152534e+01,-8.618811385682179083e-01
5.115243969098474963e+01,-8.622234159231453310e-01
5.115230941926470365e+01,-8.625656932729682813e-01
5.115217914752138029e+01,-8.629079706176845388e-01
5.115204887575477244e+01,-8.632502479572923271e-01
5.115224152875109809e+01,-8.634885896672296335e-01
5.115243418177141166e+01,-8.637269313670399296e-01
5.115262683481573447e+01,-8.639652730567205507e-01
5.115281948788406652e+01,-8.642036147362688325e-01
5.115301214097640781e+01,-8.644419564056819993e-01
5.115320479409277965e+01,-8.646802980649566095e-01
5.115703495990024408e+01,-8.553916096298906924e-01
5.115692906992346423e+01,-8.555979981362942244e-01
5.115682317993536543e+01,-8.558043866395330657e-01
5.115671728993594769e+01,-8.560107751396069942e-01
5.115661139992520390e+01,-8.562171636365146776e-01
5.115645672567591618e+01,-8.564926755035542350e-01
5.115630205140453768e+01,-8.567681873639133583e-01
5.115614737711106130e+01,-8.570436992175894941e-01
5.115599270279548705e+01,-8.573192110645805331e-01
5.115589409220032735e+01,-8.576576773808538556e-01
5.115579548158783751e+01,-8.579961436939694819e-01
5.115569687095802465e+01,-8.583346100039253024e-01
5.115559826031086743e+01,-8.586730763107204289e-01
5.115549964964637297e+01,-8.590115426143536403e-01
5.115540103896451996e+01,-8.593500089148238263e-01
5.115524926049902632e+01,-8.596158972282494926e-01
5.115509748201253615e+01,-8.598817855352315354e-01
5.115494570350504944e+01,-8.601476738357677343e-01
5.115479392497655198e+01,-8.604135621298564240e-01
5.115464214642703666e+01,-8.606794504174952731e-01
5.115449036785650350e+01,-8.609453386986823942e-01
5.115460695477767672e+01,-8.612827866908142616e-01
5.115472354171936331e+01,-8.616202346787564803e-01
5.115484012868155617e+01,-8.619576826625072741e-01
5.115495671566427660e+01,-8.622951306420655326e-01
5.115507330266753172e+01,-8.626325786174289245e-01
5.115480387385306926e+01,-8.626677988096353999e-01
5.115453444503364722e+01,-8.627030189826342399e-01
5.115426501620927269e+01,-8.627382391364240011e-01
5.115399558737994568e+01,-8.627734592710040173e-01
5.115372615854566618e+01,-8.628086793863737336e-01
5.115384380459182978e+01,-8.631167870811747855e-01
5.115396145065692224e+01,-8.634248947718115019e-01
5.115407909674095777e+01,-8.637330024582827726e-01
5.115419674284394347e+01,-8.640411101405870431e-01
5.115432404342735850e+01,-8.643406478642582380e-01
5.115445134403071847e+01,-8.646401855831605809e-01
5.115457864465403048e+01,-8.649397232972917404e-01
5.115470594529730874e+01,-8.652392610066502732e-01
5.115483324596054615e+01,-8.655387987112348469e-01
5.115496054664376402e+01,-8.658383364110435743e-01
